time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,-1.1116872286e-07,2.2047318259e-07,10.0059283117,0.000196715780389,6.28274316202,0.0,1.37520484787e-05,1.96150892613e-05,0.197596204671,0.00914003616987,-0.0292248764226,0.0,468.6728675328369,466.39636728373955,465.78782281322196,466.5018822185314
0.12000000000000001,1.48532552713e-05,7.46057816365e-06,10.0185600303,0.00125808379133,6.28098520961,0.0,0.000644881920476,0.000298567281545,0.223455911641,0.0308571890396,-0.0294482574244,0.0,413.7139015235787,413.6939091993384,410.8440937080372,412.7647596003841
0.18,0.000104562156845,5.81905514532e-05,10.0346590265,0.0033463372899,6.27958923118,0.0,0.00250204167042,0.00159132598961,0.313155522277,0.0417144021618,-0.0131243364732,0.0,432.962160922879,434.33304036792197,433.26897823600484,434.1812145324778
0.23999999999999996,0.000345284335643,0.000246823095612,10.0602697545,0.00561480258716,6.27944350455,0.0,0.00557115400086,0.00498619839301,0.540453797111,0.0285530104726,0.0131919572973,0.0,474.06804897920125,476.08557636406016,476.8580260052405,475.8523094416442
0.3,0.000758785100413,0.000677483114437,10.0971501859,0.00761261960531,6.28047690639,0.0,0.00811119231465,0.0095727335446,0.688814787436,0.0414063793172,0.0242641449784,0.0,451.903258435908,452.7946686270712,451.76517446363874,452.80063466454186
0.36000000000000004,0.00129883554064,0.00142853268767,10.1426916505,0.0102312528159,6.28187883075,0.0,0.00973589949834,0.0157373728065,0.829140275757,0.0477792072684,0.0215046844935,0.0,450.3230126926593,450.0998203465931,449.58710864772604,450.1041221893318
0.4200000000000001,0.00190602438671,0.00260551605645,10.1964145772,0.0127959990942,4.94570346667e-05,0.0,0.0103622104926,0.0237871167287,0.961518342595,0.0300682227607,0.0247018892182,0.0,448.3250954656809,448.58478874502555,447.8336186711106,446.3918323677465
0.48000000000000015,0.00252010125376,0.00430370245432,10.2570902874,0.0144269450502,0.000940374802076,0.0,0.00996249340544,0.0329937014618,1.06091544008,0.0206767929417,-0.028029942244,0.0,439.71825563344885,435.32854882071547,438.21265239551957,437.43156690164466
0.5400000000000001,0.00310396660349,0.00660923931785,10.3252997982,0.01596670052,6.28226801954,0.0,0.00969301951302,0.044009366222,1.21258368418,0.0341257351607,-0.0375824877835,0.0,453.7873937441859,453.01969967299897,454.3740990461671,455.4509914849427
0.6000000000000002,0.00371574194398,0.00964014523789,10.4042830605,0.0178455744765,6.28099183712,0.0,0.010893679784,0.0572491706435,1.41995291997,0.0249992170524,-0.000257156790583,0.0,470.35710519362186,473.23844994400656,470.99047141397745,470.2844472189973
0.6600000000000003,0.00441951587769,0.0134942336015,10.494895861,0.0200016933002,6.2813854344,0.0,0.0125403944984,0.0714310443699,1.60023456542,0.0518125228539,0.0175517358828,0.0,463.16728261993626,464.5655825103902,462.4291801687794,464.53680654903974
0.7200000000000003,0.00520950530887,0.0182726037663,10.5971467544,0.022536493784,6.28298271138,0.0,0.0136306807211,0.088196414558,1.80781587133,0.00434827225835,0.0404058419739,0.0,470.1812319792359,471.94846474623097,475.35374910385514,471.70347807385224
0.7800000000000004,0.0060217108497,0.0240891013052,10.7111910456,0.0224103274346,0.00207675035954,0.0,0.0131726213629,0.105693016593,1.99335466657,-0.01990927826,0.0326564262597,0.0,466.4811039719222,465.8762306840027,467.60169281336584,465.7083403060592
0.8400000000000004,0.00676751602763,0.0308344411352,10.8313253743,0.0214545466898,0.00421304576987,0.0,0.0115031071551,0.119054853603,2.01109311334,-0.00896841603107,0.0409302009461,0.0,413.60302909035227,414.3316940783006,413.61233887265473,414.5747920600789
0.9000000000000005,0.00735206076549,0.0384599129733,10.9569251614,0.0207246702355,0.00620911279749,0.0,0.00772596559039,0.135051050715,2.17526838644,-0.0194771561435,0.00994692083341,0.0,462.93217493542386,460.48822805650263,460.1182709185889,459.2857240785638
0.9600000000000005,0.00766965134872,0.0470327386377,11.0927077268,0.0193687736738,0.00750482462618,0.0,0.00274800924394,0.150560392648,2.35047533446,-0.0297128554694,0.038226053584,0.0,463.7572414069262,465.97308693655884,464.8388580354532,464.0360669673226
1.0200000000000005,0.00765797244739,0.0564884863314,11.2382772252,0.0173733563356,0.0101923863204,0.0,-0.00341033226239,0.164418758226,2.50152455616,-0.0415016802846,0.0554502800271,0.0,457.1719428796259,458.5432925965466,458.7628315370655,457.8254210247665
1.0800000000000005,0.00723712657489,0.0666914905209,11.3907181426,0.0149929755634,0.0133723449822,0.0,-0.0109378517405,0.175437323495,2.57966677736,-0.036246720893,0.0475836669523,0.0,436.37706697664095,435.7218050755585,435.7976994753332,436.235875233165
1.1400000000000006,0.00631975953137,0.0774909327683,11.5466128451,0.0123850974165,0.016317442176,0.0,-0.0199088269132,0.18432655422,2.616738608,-0.0645880487317,0.0519291585914,0.0,423.66619122653003,424.04126578985444,423.54730530419755,421.1013918126954
1.2000000000000006,0.00467944729181,0.0888580147303,11.7123481416,0.00887801407702,0.0191941804943,0.0,-0.0351484077889,0.194089541988,2.90707931883,-0.0483735867831,0.0384724648493,0.0,500.0453730852715,499.06526080748085,499.39973885868056,500.5789615518456
1.2600000000000007,0.0021351055146,0.100687256184,11.8912922639,0.00604639002129,0.0216962016758,0.0,-0.0499191932857,0.19990073904,3.05733308602,-0.0449334007884,0.0474785664254,0.0,460.4363679212682,461.1491764490609,460.0593488757658,460.3303991349808
